iso_code,location,total_cases
ABW,Aruba,20143.077490774907
AFG,Afghanistan,116894.16516245487
AGO,Angola,55718.347623485555
AIA,Anguilla,1459.8661710037175
ALB,Albania,168189.82084095065
AND,Andorra,22196.155454545453
ARG,Argentina,5145754.833333333
ARM,Armenia,258515.5395095368
ASM,American Samoa,4867.242990654206
ATG,Antigua and Barbuda,3934.893382352941
AUS,Australia,3015953.459578207
AUT,Austria,1980703.0298372514
AZE,Azerbaijan,445027.68631006347
BDI,Burundi,21652.164332399625
BEL,Belgium,2013090.1143617022
BEN,Benin,15519.515653775323
BES,Bonaire Sint Eustatius and Saba,4633.152336448598
BFA,Burkina Faso,13299.305580969807
BGD,Bangladesh,1192047.6922374428
BGR,Bulgaria,620759.4611872146
BHR,Bahrain,320221.33032490977
BHS,Bahamas,19715.402394106815
BIH,Bosnia and Herzegovina,224506.36429872495
BLR,Belarus,535558.5938349955
BLZ,Belize,31446.316326530614
BMU,Bermuda,7289.454293628809
BOL,Bolivia,551154.4170485793
BRA,Brazil,19032153.095022626
BRB,Barbados,36182.836866359445
BRN,Brunei,73326.7813357731
BTN,Bhutan,20251.60164083865
BWA,Botswana,161076.08675373133
CAF,Central African Republic,10077.07868252516
CAN,Canada,1963156.8847845206
CHL,Chile,2118434.409791478
CHN,China,7622882.31147541
CIV,Cote d'Ivoire,52865.75205855444
CMR,Cameroon,76451.55748175182
COD,Democratic Republic of Congo,52044.76648351648
COG,Congo,14836.157169117647
COK,Cook Islands,5398.00518134715
COL,Colombia,3829895.180987203
COM,Comoros,4891.909702209414
CPV,Cape Verde,34494.90027700831
CRI,Costa Rica,526619.4347031964
CUB,Cuba,571419.9211009174
CUW,Curacao,21219.158088235294
CYM,Cayman Islands,10926.669421487602
CYP,Cyprus,230516.95425434582
CZE,Czechia,2218683.663941871
DEU,Germany,11781849.00345125
DJI,Djibouti,10861.040552995391
DMA,Dominica,6101.2437442076
DNK,Denmark,1296368.2524886879
DOM,Dominican Republic,361955.0509090909
DZA,Algeria,164489.81012658228
ECU,Ecuador,528104.0572207085
EGY,Egypt,297723.56082289806
ERI,Eritrea,5740.212765957447
EST,Estonia,262827.8515837104
ETH,Ethiopia,293626.6106519743
FIN,Finland,459187.8861087144
FJI,Fiji,33760.74907749078
FLK,Falkland Islands,558.671977507029
FRA,France,13537581.462686567
FRO,Faeroe Islands,13279.03
FSM,Micronesia (country),12828.965299684543
GAB,Gabon,28851.795412844036
GEO,Georgia,810993.3598553345
GGY,Guernsey,11105.352511415525
GHA,Ghana,108017.61503208066
GIB,Gibraltar,8960.98090909091
GIN,Guinea,24818.85123966942
GLP,Guadeloupe,76812.36580882352
GMB,Gambia,7772.0184501845015
GNB,Guinea-Bissau,5365.05199628598
GNQ,Equatorial Guinea,10539.95867768595
GRC,Greece,1796852.4063348416
GRD,Grenada,7481.389814814815
GRL,Greenland,4727.477419354838
GTM,Guatemala,527860.4926470588
GUF,French Guiana,45755.851412944394
GUM,Guam,21049.78821362799
GUY,Guyana,34058.18990825688
HKG,Hong Kong,
HND,Honduras,276015.2126489459
HRV,Croatia,581661.9105691056
HTI,Haiti,20434.72458410351
HUN,Hungary,1036951.5063752277
IDN,Indonesia,3341480.0118074478
IMN,Isle of Man,14928.213296398892
IND,India,25593151.994704325
IRL,Ireland,723603.6560798548
IRN,Iran,4123746.275831087
IRQ,Iraq,1445585.3592057761
ISL,Iceland,74193.92837715322
ISR,Israel,1989895.97929793
ITA,Italy,8830949.670194004
JAM,Jamaica,75304.57378551787
JEY,Jersey,23683.734188817598
JOR,Jordan,895665.2406902816
JPN,Japan,6298004.39686684
KAZ,Kazakhstan,789866.5422018348
KEN,Kenya,202281.77226813592
KGZ,Kyrgyzstan,134315.61105990782
KHM,Cambodia,69629.39295154186
KIR,Kiribati,3351.951573849879
KWT,Kuwait,371262.43140794226
LAO,Laos,84962.05194805194
LBN,Lebanon,622935.202520252
LBR,Liberia,4645.312154696133
LBY,Libya,285139.59369202226
LIE,Liechtenstein,8138.604545454546
LSO,Lesotho,19502.88813229572
LTU,Lithuania,548625.8903985508
LUX,Luxembourg,127897.79200726612
LVA,Latvia,371664.7429609446
MAC,Macao,
MAR,Morocco,725812.6693914623
MCO,Monaco,6053.435176790571
MDA,Moldova,311298.8102189781
MDG,Madagascar,40735.98704902868
MDV,Maldives,90517.16605839416
MEX,Mexico,3596769.872972973
MHL,Marshall Islands,3601.155813953488
MLI,Mali,17793.08635097493
MLT,Malta,50821.010027347314
MMR,Myanmar,345959.25857275253
MNE,Montenegro,140425.57918968692
MNG,Mongolia,444495.88289112534
MOZ,Mozambique,126115.24166666667
MRT,Mauritania,34090.30486685032
MSR,Montserrat,377.68542435424354
MTQ,Martinique,80295.11232876712
MUS,Mauritius,99554.73062730627
MWI,Malawi,50886.18241347053
MYS,Malaysia,2074779.72823219
MYT,Mayotte,22242.320477502297
NAM,Namibia,95735.87132352941
NCL,New Caledonia,26642.70848708487
