Year,Australia,Canada,China,France,England,"Hong Kong SAR, China",India,Mexico,Sweden,USA
1960,18606786874,40461721693,59716467625,62225478001,73233967692,1320796652,37029883875,13040000000,15822585034,543000000000
1961,19683055213,40934952064,50056868958,67461644222,77741965703,1383681651,39232435784,14160000000,17212686615,563000000000
1962,19922723709,42227447632,47209359006,75607529810,81247564157,1612346412,42161481859,15200000000,18667251380,605000000000
1963,21539926084,45029988561,50706799903,84759195106,86561961812,1935298266,48421923459,16960000000,20204870630,639000000000
1964,23801097547,49377522897,59708343489,94007851047,94407558351,2206466461,56480289941,20080000000,22532416750,686000000000
1965,25977153097,54515179581,70436266147,102000000000,102000000000,2435078534,59554854575,21840000000,24795499686,744000000000
1966,27309889125,61088384037,76720285970,110000000000,109000000000,2489845017,45865462034,24320000000,26971486546,815000000000
1967,30444618658,65668655501,72881631327,119000000000,113000000000,2692474989,50134942203,26560000000,29275995675,862000000000
1968,32716989584,71829810520,70846535056,130000000000,108000000000,2716964388,53085455871,29360000000,31066819929,943000000000
1969,36686079068,79148411662,79705906247,142000000000,116000000000,3189740055,58447995017,32480000000,33738102482,1020000000000
1970,41337215814,87896095320,92602973434,148000000000,131000000000,3800766536,62422483055,35520000000,38092452061,1070000000000
1971,45222309329,99271961775,99800958648,166000000000,148000000000,4476001946,67350988021,39200000000,41566412923,1160000000000
1972,52051401869,113000000000,114000000000,203000000000,170000000000,5710107420,71463193830,45200000000,48954145809,1280000000000
1973,63844971172,131000000000,139000000000,264000000000,193000000000,8030117556,85515269586,55280000000,59404966684,1430000000000
1974,88981577008,160000000000,144000000000,286000000000,206000000000,9388663646,99525899116,72000000000,66013338965,1550000000000
1975,97333060221,174000000000,163000000000,361000000000,242000000000,10048022370,98472796457,88000000000,82885397621,1680000000000
1976,105000000000,207000000000,154000000000,372000000000,233000000000,12876366009,103000000000,89025974026,89362071673,1870000000000
1977,110000000000,212000000000,175000000000,410000000000,263000000000,15719433719,121000000000,81814159292,94468740851,2080000000000
1978,119000000000,219000000000,150000000000,507000000000,336000000000,18315007366,137000000000,103000000000,104000000000,2350000000000
1979,135000000000,243000000000,178000000000,614000000000,439000000000,22526035941,153000000000,135000000000,123000000000,2630000000000
1980,150000000000,274000000000,191000000000,701000000000,565000000000,28861759209,186000000000,205000000000,142000000000,2860000000000
1981,177000000000,306000000000,196000000000,616000000000,541000000000,31055409443,193000000000,264000000000,130000000000,3210000000000
1982,194000000000,314000000000,205000000000,585000000000,515000000000,32291306282,201000000000,185000000000,114000000000,3340000000000
1983,177000000000,341000000000,231000000000,560000000000,490000000000,29907091340,218000000000,156000000000,105000000000,3630000000000
1984,194000000000,355000000000,260000000000,531000000000,461000000000,33511383986,212000000000,184000000000,109000000000,4040000000000
1985,181000000000,365000000000,309000000000,553000000000,489000000000,35699543051,233000000000,195000000000,114000000000,4340000000000
1986,182000000000,377000000000,301000000000,771000000000,601000000000,41075570592,249000000000,135000000000,150000000000,4580000000000
1987,189000000000,431000000000,273000000000,934000000000,745000000000,50622571586,279000000000,148000000000,183000000000,4860000000000
1988,236000000000,507000000000,312000000000,1020000000000,910000000000,59707404561,297000000000,182000000000,207000000000,5240000000000
1989,300000000000,565000000000,348000000000,1030000000000,927000000000,68790369107,296000000000,221000000000,218000000000,5640000000000
1990,311000000000,594000000000,361000000000,1270000000000,1090000000000,76928290842,321000000000,261000000000,262000000000,5960000000000
1991,326000000000,610000000000,383000000000,1270000000000,1140000000000,88959620136,270000000000,313000000000,274000000000,6160000000000
1992,325000000000,592000000000,427000000000,1400000000000,1180000000000,104000000000,288000000000,363000000000,284000000000,6520000000000
1993,312000000000,577000000000,445000000000,1320000000000,1060000000000,120000000000,279000000000,501000000000,213000000000,6860000000000
1994,323000000000,578000000000,564000000000,1390000000000,1140000000000,136000000000,327000000000,528000000000,229000000000,7290000000000
1995,368000000000,604000000000,735000000000,1600000000000,1350000000000,145000000000,360000000000,360000000000,267000000000,7640000000000
1996,401000000000,629000000000,864000000000,1610000000000,1420000000000,160000000000,393000000000,411000000000,292000000000,8070000000000
1997,435000000000,655000000000,962000000000,1450000000000,1560000000000,177000000000,416000000000,500000000000,268000000000,8580000000000
1998,399000000000,634000000000,1030000000000,1500000000000,1650000000000,169000000000,421000000000,527000000000,271000000000,9060000000000
1999,389000000000,678000000000,1090000000000,1490000000000,1690000000000,166000000000,459000000000,600000000000,274000000000,9630000000000
2000,416000000000,745000000000,1210000000000,1360000000000,1660000000000,172000000000,468000000000,708000000000,263000000000,10300000000000
2001,379000000000,739000000000,1340000000000,1380000000000,1640000000000,169000000000,485000000000,757000000000,242000000000,10600000000000
2002,395000000000,761000000000,1470000000000,1490000000000,1780000000000,166000000000,515000000000,772000000000,267000000000,10900000000000
2003,467000000000,896000000000,1660000000000,1840000000000,2060000000000,161000000000,608000000000,729000000000,334000000000,11500000000000
2004,614000000000,1030000000000,1960000000000,2120000000000,2420000000000,169000000000,709000000000,782000000000,385000000000,12200000000000
2005,695000000000,1170000000000,2290000000000,2200000000000,2540000000000,182000000000,820000000000,877000000000,392000000000,13000000000000
2006,748000000000,1320000000000,2750000000000,2320000000000,2720000000000,194000000000,940000000000,975000000000,423000000000,13800000000000
2007,854000000000,1470000000000,3550000000000,2660000000000,3110000000000,212000000000,1220000000000,1050000000000,491000000000,14500000000000
2008,1060000000000,1550000000000,4590000000000,2920000000000,2940000000000,219000000000,1200000000000,1110000000000,518000000000,14700000000000
2009,928000000000,1370000000000,5100000000000,2690000000000,2430000000000,214000000000,1340000000000,900000000000,437000000000,14400000000000
2010,1150000000000,1620000000000,6090000000000,2640000000000,2490000000000,229000000000,1680000000000,1060000000000,496000000000,15000000000000
2011,1400000000000,1790000000000,7550000000000,2860000000000,2670000000000,249000000000,1820000000000,1180000000000,574000000000,15500000000000
2012,1550000000000,1830000000000,8530000000000,2680000000000,2720000000000,263000000000,1830000000000,1200000000000,552000000000,16200000000000
2013,1580000000000,1850000000000,9570000000000,2810000000000,2800000000000,276000000000,1860000000000,1270000000000,587000000000,16800000000000
2014,1470000000000,1810000000000,10500000000000,2850000000000,3090000000000,291000000000,2040000000000,1320000000000,582000000000,17500000000000
2015,1350000000000,1560000000000,11100000000000,2440000000000,2960000000000,309000000000,2100000000000,1170000000000,505000000000,18200000000000
2016,1210000000000,1530000000000,11200000000000,2470000000000,2720000000000,321000000000,2290000000000,1080000000000,516000000000,18700000000000
2017,1330000000000,1650000000000,12300000000000,2590000000000,2700000000000,341000000000,2650000000000,1160000000000,541000000000,19500000000000
2018,1430000000000,1730000000000,13900000000000,2790000000000,2900000000000,362000000000,2700000000000,1220000000000,555000000000,20600000000000
2019,1390000000000,1740000000000,14300000000000,2730000000000,2880000000000,363000000000,2870000000000,1270000000000,534000000000,21400000000000
2020,1330000000000,1650000000000,14700000000000,2630000000000,2760000000000,347000000000,2660000000000,1070000000000,541000000000,21000000000000
