,Year,Australia,Canada,China,France,England,"Hong Kong SAR, China",India,Mexico,Sweden,USA
0,2000,416.0,745.0,1210.0,1360.0,1660.0,172.0,468.0,708.0,263.0,10300.0
1,2001,379.0,739.0,1340.0,1380.0,1640.0,169.0,485.0,757.0,242.0,10600.0
2,2002,395.0,761.0,1470.0,1490.0,1780.0,166.0,515.0,772.0,267.0,10900.0
3,2003,467.0,896.0,1660.0,1840.0,2060.0,161.0,608.0,729.0,334.0,11500.0
4,2004,614.0,1030.0,1960.0,2120.0,2420.0,169.0,709.0,782.0,385.0,12200.0
5,2005,695.0,1170.0,2290.0,2200.0,2540.0,182.0,820.0,877.0,392.0,13000.0
6,2006,748.0,1320.0,2750.0,2320.0,2720.0,194.0,940.0,975.0,423.0,13800.0
7,2007,854.0,1470.0,3550.0,2660.0,3110.0,212.0,1220.0,1050.0,491.0,14500.0
8,2008,1060.0,1550.0,4590.0,2920.0,2940.0,219.0,1200.0,1110.0,518.0,14700.0
9,2009,928.0,1370.0,5100.0,2690.0,2430.0,214.0,1340.0,900.0,437.0,14400.0
10,2010,1150.0,1620.0,6090.0,2640.0,2490.0,229.0,1680.0,1060.0,496.0,15000.0
11,2011,1400.0,1790.0,7550.0,2860.0,2670.0,249.0,1820.0,1180.0,574.0,15500.0
12,2012,1550.0,1830.0,8530.0,2680.0,2720.0,263.0,1830.0,1200.0,552.0,16200.0
13,2013,1580.0,1850.0,9570.0,2810.0,2800.0,276.0,1860.0,1270.0,587.0,16800.0
14,2014,1470.0,1810.0,10500.0,2850.0,3090.0,291.0,2040.0,1320.0,582.0,17500.0
15,2015,1350.0,1560.0,11100.0,2440.0,2960.0,309.0,2100.0,1170.0,505.0,18200.0
16,2016,1210.0,1530.0,11200.0,2470.0,2720.0,321.0,2290.0,1080.0,516.0,18700.0
17,2017,1330.0,1650.0,12300.0,2590.0,2700.0,341.0,2650.0,1160.0,541.0,19500.0
18,2018,1430.0,1730.0,13900.0,2790.0,2900.0,362.0,2700.0,1220.0,555.0,20600.0
19,2019,1390.0,1740.0,14300.0,2730.0,2880.0,363.0,2870.0,1270.0,534.0,21400.0
20,2020,1330.0,1650.0,14700.0,2630.0,2760.0,347.0,2660.0,1070.0,541.0,21000.0
