,country,homelat,homelon,Industry,Frequency
0,Brazil,-10.3333333,-53.2,Technology,1
0,Brazil,-10.3333333,-53.2,Health Care,1
0,Brazil,-10.3333333,-53.2,Food&Beverage,3
1,Argentina,-34.9964963,-64.9672817,Technology,1
2,Japan,36.5748441,139.2394179,Retail,2
2,Japan,36.5748441,139.2394179,Technology,2
2,Japan,36.5748441,139.2394179,Consumer,1
2,Japan,36.5748441,139.2394179,Industrial,1
3,Nigeria,9.6000359,7.9999721,Industrial,1
4,Korea,36.638392,127.6961188,Technology,1
4,Korea,36.638392,127.6961188,Diversified,1
4,Korea,36.638392,127.6961188,Health Care,1
5,HongKong,22.2793278,114.1628131,Entertainment,1
5,HongKong,22.2793278,114.1628131,Retail,1
5,HongKong,22.2793278,114.1628131,Energy,2
5,HongKong,22.2793278,114.1628131,Technology,1
5,HongKong,22.2793278,114.1628131,Media&Telecom,1
5,HongKong,22.2793278,114.1628131,Real Estate,8
5,HongKong,22.2793278,114.1628131,Health Care,1
5,HongKong,22.2793278,114.1628131,Industrial,1
6,Chile,-31.7613365,-71.3187697,Commodities,1
7,Ukraine,49.4871968,31.2718321,Industrial,1
8,Germany,51.1638175,10.4478313,Retail,6
8,Germany,51.1638175,10.4478313,Technology,3
8,Germany,51.1638175,10.4478313,Consumer,1
8,Germany,51.1638175,10.4478313,Media&Telecom,1
8,Germany,51.1638175,10.4478313,Diversified,1
8,Germany,51.1638175,10.4478313,Food&Beverage,1
8,Germany,51.1638175,10.4478313,Real Estate,1
8,Germany,51.1638175,10.4478313,Health Care,3
8,Germany,51.1638175,10.4478313,Industrial,8
9,Denmark,55.670249,10.3333283,Retail,1
9,Denmark,55.670249,10.3333283,Health Care,1
9,Denmark,55.670249,10.3333283,Consumer,4
10,South Africa,-28.8166236,24.991639,Diversified,2
10,South Africa,-28.8166236,24.991639,Food&Beverage,1
11,Philippines,12.7503486,122.7312101,Diversified,1
12,Kazakhstan,48.1012954,66.7780818,Finance,1
13,UAE,24.0002488,53.9994829,Food&Beverage,1
13,UAE,24.0002488,53.9994829,Real Estate,1
14,France,46.603354,1.8883335,Technology,1
14,France,46.603354,1.8883335,Consumer,5
14,France,46.603354,1.8883335,Media&Telecom,1
14,France,46.603354,1.8883335,Diversified,4
14,France,46.603354,1.8883335,Food&Beverage,3
14,France,46.603354,1.8883335,Health Care,2
15,Taiwan,23.9739374,120.9820179,Technology,1
15,Taiwan,23.9739374,120.9820179,Diversified,1
15,Taiwan,23.9739374,120.9820179,Food&Beverage,1
15,Taiwan,23.9739374,120.9820179,Industrial,2
16,Israel,30.8124247,34.8594762,Energy,1
16,Israel,30.8124247,34.8594762,Services,1
16,Israel,30.8124247,34.8594762,Diversified,2
17,Switzerland,46.7985624,8.2319736,Technology,1
17,Switzerland,46.7985624,8.2319736,Diversified,1
17,Switzerland,46.7985624,8.2319736,Services,1
17,Switzerland,46.7985624,8.2319736,Health Care,4
17,Switzerland,46.7985624,8.2319736,Industrial,2
18,India,22.3511148,78.6677428,Energy,1
18,India,22.3511148,78.6677428,Retail,1
18,India,22.3511148,78.6677428,Technology,2
18,India,22.3511148,78.6677428,Media&Telecom,1
18,India,22.3511148,78.6677428,Diversified,2
18,India,22.3511148,78.6677428,Real Estate,1
18,India,22.3511148,78.6677428,Finance,1
18,India,22.3511148,78.6677428,Commodities,3
18,India,22.3511148,78.6677428,Health Care,2
18,India,22.3511148,78.6677428,Industrial,5
19,Australia,-24.7761086,134.755,Technology,2
19,Australia,-24.7761086,134.755,Real Estate,2
19,Australia,-24.7761086,134.755,Commodities,3
19,Australia,-24.7761086,134.755,Services,2
19,Australia,-24.7761086,134.755,Industrial,1
20,Georgia,32.3293809,-83.1137366,Finance,1
20,Georgia,32.3293809,-83.1137366,Diversified,1
21,Netherlands,52.2434979,5.6343227,Retail,1
21,Netherlands,52.2434979,5.6343227,Food&Beverage,1
22,England,52.5310214,-1.2649062,Entertainment,1
22,England,52.5310214,-1.2649062,Retail,1
22,England,52.5310214,-1.2649062,Consumer,2
22,England,52.5310214,-1.2649062,Diversified,4
22,England,52.5310214,-1.2649062,Real Estate,2
22,England,52.5310214,-1.2649062,Finance,3
22,England,52.5310214,-1.2649062,Industrial,2
23,Austria,47.59397,14.12456,Entertainment,1
23,Austria,47.59397,14.12456,Food&Beverage,1
24,Egypt,26.2540493,29.2675469,Industrial,1
25,Spain,39.3260685,-4.8379791,Retail,2
26,Malaysia,4.5693754,102.2656823,Finance,1
26,Malaysia,4.5693754,102.2656823,Diversified,1
27,Thailand,14.8971921,100.83273,Energy,1
27,Thailand,14.8971921,100.83273,Food&Beverage,1
28,Mexico,23.6585116,-102.0077097,Commodities,3
28,Mexico,23.6585116,-102.0077097,Diversified,2
28,Mexico,23.6585116,-102.0077097,Food&Beverage,1
