Country,Total_Net_Worth,Name,Industry
USA,84955,"Elon Musk , Jeff Bezos , Bill Gates , Larry Page , Sergey Brin , Mark Zuckerberg , Steve Ballmer , Larry Ellison , Warren Buffett , Jim Walton , Rob Walton , Alice Walton , Phil Knight&family , Charles Koch , Julia Flesher Koch&family, MacKenzie Scott , Michael Dell , Jacqueline Badger Mars, John Mars , Len Blavatnik , Stephen Schwarzman , Leonard Lauder , Dan Gilbert , Eric Schmidt , Dustin Moskovitz , Abigail Johnson , Miriam Adelson , James Simons , Jensen Huang , Lukas Walton , Carl Icahn , Thomas Peterffy , Thomas Frist , John Menard , Ken Griffin , Elaine Marshall , Donald Newhouse , Laurene Powell Jobs, Jay Chaudhry , Ernie Garcia , Dave Duffield , Donald Bren , Ned Johnson III, Jim Goodnight , Ray Dalio , David Tepper , Harold Hamm , Philip Anschutz , Jack Dorsey , Brian Chesky , Sam Bankman-Fried , Charles Schwab , Jan Koum , Eric Yuan , Robert Pera , Charles Ergen , Leon Black , George Roberts , Brian Armstrong , David Geffen , Henry Kravis , Marijke Mars , Victoria Mars , Pamela Mars-Wright , Valerie Mars , Joe Gebbia , Melinda French Gates, Nathan Blecharczyk , Steven Rales , Jim Davis , Marc Benioff , Stan Kroenke , Micky Arison , Pierre Omidyar , Steve Cohen , Bobby Murphy , Gordon Moore , Christy Walton , Patrick Soon-Shiong , Carl Cook , Stan Druckenmiller , Evan Spiegel , John Albert Sobrato, Li Ge , Les Wexner , Izzy Englander , Jerry Jones , Andy Beal , John Malone , Tim Sweeney , Mitchell Rales , Rocco Commisso , Rupert Murdoch , George Lucas , Blair Parry-Okeden , Jim Kennedy , Reinhold Schmieding , Ernest Garcia III, Robert Smith , Tammy Gustavson , David Sun , John Tu , Jude Reyes , Chris Reyes , John Doerr , Stephen Ross , Ned Johnson IV, Elizabeth Johnson , Chase Coleman , Mat Ishbia , Michael Rubin , Richard Kinder , Ronda Stryker , Gabe Newell , Ralph Lauren , Josh Harris , Dennis Washington , John Sall , Steven Spielberg , Charles Butt&family , Shahid Khan , Lin Bin , Tito Beveridge , George Soros , Terry Pegula , Nancy Laurie , David Shaw , Dan Cathy , Bubba Cathy , Reed Hastings , Peter Thiel , Tom Gores , Bob Rich , Mark Shoen , Gwendolyn Sontheim Meyer, Pauline Keinath , Patrick Ryan , Jon Gray , Mike Novogratz , Lynn Schusterman , Randa Williams , Dannine Avara , Scott Duncan , Matthew Prince , Milane Frantz , Jane Lauder , Steve Feinberg , Edward Roski , Henry Samueli , Marc Rowan , Tony Ressler , David Bonderman , Ann Kroenke , Ken Fisher , Leonard Stern , Pat Stryker , Sam Zell , Jeffery Hildebrand , Joe Mansueto , Ray Hunt , Henry Laufer , Tony James , Robert Kraft , Katharine Rayner , Margaretta Taylor , James Cox Chambers, Mark Cuban , Eric Smidt , Barry Diller , Trevor Rees-Jones ","[' Services', ' Diversified', ' Food&Beverage', ' Media&Telecom', ' Health Care', 'Technology', ' Industrial', ' Energy', '  Media&Telecom', ' Entertainment', ' Real Estate', ' Technology', ' Commodities', ' Retail', ' Consumer', ' Finance']"
China,39847,"Zhong Shanshan , Ma Huateng , Zhang Yiming , Jack Ma , William Ding , Colin Huang , Li Shu Fu, He Xiangjian , Wei Jianjun , Yang Huiyan , Wang Chuan-Fu , Pang Kang , Huang Shilin , Qin Yinglin , Zhang Zhidong , Wang Xing , Jiang Rensheng , Lei Jun , Wang Wei , Richard Liu , Chen Bang , Pei Zhenhua , Li Zhenguo , Wang Wenyin , Ma Jianrong , Lv Xiang-yang , Lin Jianhua , Wu Yajun , Zhang Bo , Gong Hongjia , Fan Hongwei , Dang Yanbao , Liu Hanyuan , Sun Piaoyang , Robin Li , Liu Jincheng , Qi Shi , Jin Baofang , Zhou Qunfei , Cao Renxian , Qian Dongqi , Chen Zhiping , Liu Yongxing , Li Ping , Liu Yonghao , Ding Shizhong , Zhong Huijuan , Ding Shijia , Wang Laisheng , Yu Yong , Wu Shaoxun , Jian Jun , Wang Jianlin , Cen Junda , Cai Kui , Yao Liangsong , Li Shuirong , He Xiaopeng , Cheng Xue , Xu Shihui , Wang Laichun , Zhao Yan , Leng You-Bin , Chen Jianhua , Wang Yusuo , Yu Renrong , Hui Ka Yan, Lu Weiding , Ruan Liping , Ruan Xueping , Gao Dekang , Frank Wang , Zhang Lei , Su Hua , Bin Li , Lai Meisong , Wang Yanqing , Jiang Bin , Lin Muqin , Wang Wenjing , Kei Hoi Pang","[' Services', ' Diversified', ' Food&Beverage', ' Health Care', ' Industrial', ' Energy', ' Real Estate', ' Technology', ' Commodities', ' Retail', ' Consumer', 'Diversified', ' Finance']"
Germany,12249,"Klaus-Michael Kuehne , Dieter Schwarz , Susanne Klatten , Thomas Struengmann , Andreas Struengmann , Stefan Quandt , Hasso Plattner , Karl Albrecht Jr, Beate Heister , Reinhold Wuerth , Ugur Sahin , Heinrich Deichmann&family , Dietmar Hopp , Georg Schaeffler , August von Finck, Theo Albrecht Jr, Andy Bechtolsheim , Michael Otto , Martin Viessmann&family , Liz Mohn , Horst Pudwill , Axel Oberwelland , Ludwig Merckle , Peter-Alexander Wacker&family , Alexander Otto ","['Industrial', ' Diversified', ' Food&Beverage', ' Media&Telecom', ' Technology', ' Industrial', ' Real Estate', ' Health Care', ' Retail', ' Consumer']"
Russia,12012,"Leonid Mikhelson , Vladimir Potanin , Alexey Mordashov , Vladimir Lisin , Vagit Alekperov , Gennady Timchenko , Alisher Usmanov , Roman Abramovich , Viktor Vekselberg , Andrey Melnichenko , Mikhail Fridman , Victor Rashnikov , Mikhail Prokhorov , Suleiman Kerimov , Dmitry Rybolovlev , German Khan , Leonid Fedun , Alexander Abramov , Iskandar Makhmudov , Oleg Tinkov , Andrey Guryev , Tatyana Bakalchuk , Alexey Kuzmichev , Sergey Gordeev , Vyacheslav Kantor , Denis Sverdlov , Petr Aven ","['Energy', ' Diversified', ' Energy', ' Industrial', ' Technology', ' Commodities', ' Real Estate', ' Finance']"
India,9212,"Mukesh Ambani , Gautam Adani , Azim Premji , Shiv Nadar , Radhakishan Damani , Lakshmi Mittal , Uday Kotak , Cyrus Poonawalla , Dilip Shanghvi , Savitri Jindal , Kumar Birla , Sunil Mittal , KP Singh  , Benu Bangur , Nusli Wadia , Rahul Bajaj , Ashwin Dani&family , Mahendra Choksi&family , Abhay Vakil&family ","['Energy', ' Diversified', ' Media&Telecom', ' Industrial', ' Health Care', ' Technology', ' Commodities', ' Retail', ' Real Estate', ' Finance']"
Canada,8836,"Sherry Brydson , Tobi Lutke , Taylor Thomson , David Thomson , Peter Thomson , Anthony von Mandl, Joseph Tsai , James Pattison , Chip Wilson , Linda Campbell , Gaye Farncombe , J K Irving, Arthur Irving ","[' Media&Telecom', ' Energy', 'Media&Telecom', ' Technology', ' Commodities', ' Retail', ' Consumer']"
England,8057,"James Dyson , Jim Ratcliffe , Hugh Grosvenor , Michael Platt , Laurence Graff , Anthony Bamford&family , Chris Hohn , Simon Reuben , David Reuben , Nik Storonsky , Joe Lewis , Charles Cadogan , Tom Morris , Richard Branson , Denise Coates ","[' Diversified', 'Consumer', ' Industrial', ' Entertainment', ' Real Estate', ' Retail', ' Consumer', ' Finance']"
France,7311,"Bernard Arnault , Francoise Bettencourt Meyers, Francois Pinault , Alain Wertheimer , Gerard Wertheimer , Stephane Bancel , Laurent Dassault , Marie-Helene Habert-Dassault , Thierry Dassault , Emmanuel Besnier , Patrick Drahi , Xavier Niel , Vincent Bollore , Alain Merieux , Jean-Pierre Cayard , Jean-Michel Besnier ","[' Diversified', ' Food&Beverage', ' Media&Telecom', 'Consumer', ' Health Care', ' Technology', ' Consumer']"
Switzerland,6783,"Ernesto Bertarelli&family , Gianluigi Aponte , Magdalena Martullo , Hansjoerg Wyss , Rahel Blocher , Guillaume Pousaz , Andre Hoffmann , Vera Michalski-Hoffmann , Maja Hoffmann ","[' Services', ' Industrial', ' Health Care', ' Technology', 'Diversified']"
HongKong,6194,"Zeng Yuqun , Li Ka-shing , Henry Cheng , Lee Shau Kee, Peter Woo , Xu Hang , Lui Che-Woo , Raymond Kwok , Thomas Kwok , Michael Kadoorie , Yeung Kin-Man , Geoffrey Kwok , Joseph Lau , Ronald McAulay , Hui Wing Mau, Richard Li ","['Industrial', ' Media&Telecom', ' Technology', ' Energy', ' Entertainment', ' Health Care', ' Retail', ' Real Estate']"
