Industry,Country,Total_Net_Worth,Name
Finance,USA,19368,"Stephen Schwarzman , Abigail Johnson , James Simons , Thomas Peterffy , Ken Griffin , Ned Johnson III, Ray Dalio , David Tepper , Sam Bankman-Fried , Charles Schwab , Leon Black , George Roberts , Henry Kravis , Steve Cohen , Stan Druckenmiller , Izzy Englander , Andy Beal , Robert Smith , John Doerr , Ned Johnson IV, Elizabeth Johnson , Chase Coleman , Mat Ishbia , Josh Harris , George Soros , David Shaw , Peter Thiel , Tom Gores , Jon Gray , Mike Novogratz , Steve Feinberg , Marc Rowan , Tony Ressler , David Bonderman , Ken Fisher , Henry Laufer , Tony James "
Technology,USA,13842,"Elon Musk , Jeff Bezos , Bill Gates , Larry Page , Sergey Brin , Mark Zuckerberg , Steve Ballmer , Larry Ellison , MacKenzie Scott , Michael Dell , Eric Schmidt , Dustin Moskovitz , Jensen Huang , Jay Chaudhry , Dave Duffield , Jim Goodnight , Jack Dorsey , Jan Koum , Eric Yuan , Robert Pera , Brian Armstrong , Marc Benioff , Pierre Omidyar , Bobby Murphy , Gordon Moore , Evan Spiegel , Tim Sweeney , David Sun , John Tu , Gabe Newell , John Sall , Lin Bin , Reed Hastings , Matthew Prince , Henry Samueli , Joe Mansueto , Mark Cuban , Barry Diller "
Technology,China,8834,"Ma Huateng , Zhang Yiming , Jack Ma , William Ding , Colin Huang , Zhang Zhidong , Wang Xing , Lei Jun , Richard Liu , Lin Jianhua , Gong Hongjia , Robin Li , Zhou Qunfei , Cao Renxian , Qian Dongqi , He Xiaopeng , Yu Renrong , Frank Wang , Su Hua , Bin Li , Wang Yanqing , Jiang Bin , Wang Wenjing "
Retail,USA,7113,"Jim Walton , Rob Walton , Alice Walton , Lukas Walton , John Menard , Christy Walton , Les Wexner , Michael Rubin , Charles Butt&family , Nancy Laurie , Ann Kroenke , Eric Smidt "
Energy,USA,7031,"Harold Hamm , Richard Kinder , Terry Pegula , Lynn Schusterman , Randa Williams , Dannine Avara , Scott Duncan , Milane Frantz , Jeffery Hildebrand , Ray Hunt , Trevor Rees-Jones "
Consumer,China,6935,"He Xiangjian , Wei Jianjun , Wang Chuan-Fu , Ma Jianrong , Lv Xiang-yang , Chen Zhiping , Ding Shizhong , Ding Shijia , Jian Jun , Leng You-Bin , Gao Dekang , Lin Muqin "
Industrial,China,6876,"Li Shu Fu, Huang Shilin , Pei Zhenhua , Zhang Bo , Liu Hanyuan , Liu Jincheng , Liu Yongxing , Li Ping , Wang Laisheng , Wang Laichun , Chen Jianhua , Ruan Liping , Ruan Xueping "
Consumer,USA,6863,"Phil Knight&family , Leonard Lauder , Ernie Garcia , Jim Davis , Ernest Garcia III, Jude Reyes , Chris Reyes , Ralph Lauren , Shahid Khan , Tito Beveridge , Jane Lauder "
Media&Telecom,USA,6694,"Donald Newhouse , Charles Ergen , John Malone , Rocco Commisso , Rupert Murdoch , Blair Parry-Okeden , Jim Kennedy , Katharine Rayner , Margaretta Taylor , James Cox Chambers"
Media&Telecom,Canada,5119,"Sherry Brydson , Taylor Thomson , David Thomson , Peter Thomson , James Pattison , Linda Campbell , Gaye Farncombe "
Real Estate,USA,4337,"Dan Gilbert , Donald Bren , Stan Kroenke , John Albert Sobrato, Stephen Ross , Edward Roski , Leonard Stern , Sam Zell "
Industrial,Germany,4141,"Klaus-Michael Kuehne , Susanne Klatten , Stefan Quandt , Reinhold Wuerth , Georg Schaeffler , Martin Viessmann&family , Ludwig Merckle , Peter-Alexander Wacker&family "
Entertainment,USA,3762,"Miriam Adelson , David Geffen , Micky Arison , Jerry Jones , George Lucas , Steven Spielberg , Robert Kraft "
Health Care,USA,3736,"Thomas Frist , Patrick Soon-Shiong , Carl Cook , Li Ge , Reinhold Schmieding , Ronda Stryker , Pat Stryker "
Food&Beverage,USA,3619,"Jacqueline Badger Mars, John Mars , Marijke Mars , Victoria Mars , Pamela Mars-Wright , Valerie Mars , Dan Cathy , Bubba Cathy , Bob Rich "
Industrial,Russia,3531,"Alexey Mordashov , Vladimir Lisin , Viktor Vekselberg , Andrey Melnichenko , Victor Rashnikov , Alexander Abramov , Andrey Guryev , Vyacheslav Kantor "
Real Estate,China,3375,"Yang Huiyan , Wu Yajun , Wang Jianlin , Cai Kui , Hui Ka Yan, Kei Hoi Pang"
Industrial,USA,3253,"Charles Koch , Julia Flesher Koch&family, Elaine Marshall , Steven Rales , Mitchell Rales , Dennis Washington "
Health Care,China,3089,"Jiang Rensheng , Chen Bang , Sun Piaoyang , Zhong Huijuan , Cen Junda , Zhao Yan "
Health Care,Switzerland,3054,"Hansjoerg Wyss , Andre Hoffmann , Vera Michalski-Hoffmann , Maja Hoffmann "
Real Estate,HongKong,2965,"Li Ka-shing , Lee Shau Kee, Peter Woo , Raymond Kwok , Thomas Kwok , Geoffrey Kwok , Joseph Lau , Hui Wing Mau"
Food&Beverage,China,2918,"Pang Kang , Qin Yinglin , Wu Shaoxun , Cheng Xue , Xu Shihui "
Industrial,India,2862,"Gautam Adani , Kumar Birla , Ashwin Dani&family , Mahendra Choksi&family , Abhay Vakil&family "
Services,USA,2673,"Brian Chesky , Joe Gebbia , Nathan Blecharczyk , Tammy Gustavson , Mark Shoen , Patrick Ryan "
